Künstler;Familie;Share;Bamboo Breath;Airy Flute;Overblown;Flute Phrase;Night Flute;Shakuhachi;Night Owl;Distant Howl;Singing Bowl;Rim Rub;Deep Bowl;Bowl Beating;Bowl Phrase;Cave Drops;Cistern;Wet Marimba;Steady Drip;Rain In A Bowl;Sonar Ping;Echo Sounder;Deep Sonar;Foghorn;Whistler;Seed Pod;Geiger Counter;Bunker Tube;Krell Circuit;Deep Space Beacon;Number Station;Shortwave Dial;Ting-Sha;Ship's Bell;Church Bell Far;Wind Chimes;Quiet, Please;Night Announcer;Whisper At The Ear;Lost Transmission;Radio Cut-Up;Edison Cylinder;Variety Stage;Screening Room;New York, 1950s;Interview;Cylinder Cut-Up;Radio Murmur;Ground Control;Whisper Close;Far Chatter;Low Voice;Ice Shift;Old Wood;Glacier;Hull Strain;E-Bow Glide;Lap Steel Cry;Cello Under;Koto;Harp Touch;Phaedra;Rubycon;Gamelan Line;Koto Line;Vocal Pulse;Subterranean Pulse;Glass Balafon;Glass Pluck;Beating Bell;Machine Pulse;Flute Line;Bowl Line;Ice Steps;Bowed Line;Harmonic Pulse;Wavetable Run;Drop Sequence;Tuned Noise;Slow Cathedral;Heartbeat;Houston, We've Had a Problem;The Eagle Has Landed;One Small Step;Merry Christmas from Apollo 8;Godspeed, John Glenn;Fireflies;We Choose the Moon;Roger Roll;Go at Throttle Up;Nice to Be in Orbit;Houston, Discovery;Dust It Off First;Quindar;Sputnik;Chorus;Saturn Radio;Enceladus;Jupiter Lightning;Kepler Star;Wind on Mars;Ingenuity;Dust Devil;Laser on Mars;Marsquake;Dinks and Donks;Ganymede;Cosmic Cliffs;Southern Ring
Robert Rich;sleep;0.7;3H;3H;3H;3H;3H;3H;1S;1S;2G;2G;2G;2G;2G;3H;3H;3H;3H;3H;;;;;;1G;;;;;;;1S;1S;;1G;;;;;;;;;;;;;;;;;;;;;3H;3H;3H;1G;1G;;;1S;1S;;;1S;;1S;;1S;1S;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steve Roach;sleep;0.6;2G;2G;2G;1G;2G;1G;1S;1S;1S;1S;1S;1S;1S;2G;2G;2G;2G;2G;;;;;1S;2G;;;;;;;1S;1S;;2G;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;2G;2G;2G;2G;2G;2G;1S;;2G;2G;2G;;1G;1G;1G;1G;2G;2G;1G;1G;2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klaus Wiese;sleep;0.5;2G;2G;2G;1S;2G;1S;;;3H;3H;3H;3H;3H;;;;;;;;;;;1S;;;;;;;2G;2G;;1G;;;;;;;;;;;;;;;;;;;;;;;;1S;1S;;;;;;;;;;;1S;1S;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oöphoi;sleep;0.35;1S;1S;1S;;1S;;;;2G;2G;2G;2G;2G;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;;;;;;;;;;;;;1S;1S;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mathias Grassow;sleep;0.35;1S;1S;1S;;1S;;;;2G;2G;2G;2G;2G;;;;;;;;;;;;;;;;;;1S;1S;1S;;;;;;;;;;;;;;;;;;;;;;1S;1S;1S;;;;;;;;;;;;;1S;1S;1S;1S;;;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jim Cole;sleep;0.6;1S;1S;1S;;1S;;;;2G;2G;2G;2G;2G;;;;;;;;;;;;;;;;;;1G;1G;;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Voice of Eye;sleep;0.6;;;;;;;1G;1G;2G;2G;2G;2G;2G;1G;1G;1G;1G;1G;;;;;;3H;;;;;;;2G;2G;;;;;;;;;;;;;;1G;1G;1G;1G;1G;1S;1S;1S;1S;;;;1S;1S;;;;;1S;;;;;;1G;1G;1G;1G;;;1G;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Heasley;sleep;0.6;1S;1S;1S;;1S;;;;1S;1S;1S;1S;1S;;;;;;;;;2G;;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;;;1G;1G;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeff Pearce;sleep;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S;;;;;;;;;;;;;;;;;;;;;3H;3H;3H;2G;2G;1S;1S;;;;;;1S;;;1S;1S;1S;1S;1S;1S;1S;1S;1S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amir Baghiri;sleep;0.6;2G;2G;2G;1G;2G;1G;;;;;;;;1G;1G;1G;1G;1G;;;;;;3H;;;;;;;1G;1G;;2G;;;;;;;;;;;;;;;;;;;;;;;;2G;2G;;;2G;2G;1S;;2G;;2G;;1G;1G;1G;1G;;;1G;1G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
